Term,P_value,Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
Nucleus (GO:0005634),7.301007005403019e-11,1.1097530648212588e-08,2.086178050721663,48.69227969748489,ZNF292;ZBTB21;ZBTB20;UBE2L6;ARID4B;PRDM1;RBPJ;ETS2;ZC3H12C;ZFP36;HELB;ZC3H12A;PIM1;EPC1;SNIP1;UBASH3A;JUNB;IER2;TRIM22;IER3;ZNF441;SP110;HCFC2;ZNF14;RSBN1;THAP1;XRN1;DDIT3;SRFBP1;ZNF799;SNRNP25;ATF3;INO80D;BCL10;FOXO1;SLC5A5;PDZD2;IRAK2;CMYA5;MIER1;HIVEP1;PMAIP1;HIVEP2;SKIL;APOBEC3D;EGR1;EGR2;JUN;GADD45B;GADD45A;TIPARP;PHF11;ZBTB10;NR1D1;PARP14;FOXN2;POU2F2;CLK4;PARP12;NFKB1;NFKB2;FOSL1;NR4A2;NFKBIA;CLK1;NR4A1;ZBTB6;NR4A3;ADI1;MAFF;BCL3;CREBRF;REL;MDM4;INTS6;CPEB3;NFKBID;CSRNP1;USP37;BTG1;CDKN1B;PPP1R10;ZC3H4;BHLHE41;TNFAIP3;ZNF44;CHD2;MYSM1;RERG;SENP7;DBP;SIX4;NFKBIZ;JAK2;ZNF488;NKX3-1;KLF10;KDM6B;KLF11;DTX3L;DUSP1;TET2;FOS;PROX1;ZNF57;ETV3;MED26;IRF1;TET3;IRF7;NCOA7;IRF9;BIRC3;FOXC2;NLRC5;USP18;RELB;SERTAD2;ZNF627;HES1;RBBP6;WTAP;STAT1;GDF15;STAT2;ARID3B;GRHL1;TUBB4A;PNRC1;REC8;PER2;PER1;KLF6;KLF9;FOSB;SPRY2
Intracellular Membrane-Bounded Organelle (GO:0043231),7.084670367976406e-09,5.384349479662068e-07,1.8914189041517253,35.493104614703476,CHIC2;ZNF292;ZBTB21;ZBTB20;UBE2L6;ARID4B;PRDM1;RBPJ;ETS2;TM7SF2;ZC3H12C;ZFP36;HELB;ZC3H12A;PIM1;EPC1;SNIP1;UBASH3A;JUNB;IER2;TRIM22;IER3;ZNF441;G6PD;SP110;HCFC2;ZNF14;RSBN1;THAP1;XRN1;DDIT3;SRFBP1;ZNF799;SNRNP25;ATF3;INO80D;SLCO5A1;BCL10;FOXO1;SLC5A5;PDZD2;IRAK2;CMYA5;MIER1;HIVEP1;PMAIP1;HIVEP2;SKIL;APOBEC3D;EGR1;EGR2;JUN;GADD45B;GADD45A;TIPARP;PHF11;ZBTB10;NR1D1;PARP14;FOXN2;POU2F2;CLK4;PARP12;NFKB1;NFKB2;FOSL1;NR4A2;NFKBIA;CLK1;NR4A1;BMP2;ZBTB6;ARHGAP30;NR4A3;ADI1;MAFF;BCL3;CREBRF;REL;MDM4;INTS6;CPEB3;NFKBID;CSRNP1;USP37;BTG1;CDKN1B;PPP1R10;ZC3H4;BHLHE41;TNFAIP3;ZNF44;CHD2;MYSM1;RERG;RND1;SENP7;DBP;SIX4;NFKBIZ;JAK2;ZNF488;NKX3-1;KLF10;KDM6B;KLF11;DTX3L;DUSP1;TET2;FOS;PROX1;ZNF57;ETV3;MED26;IRF1;TET3;IRF7;NCOA7;IRF9;BIRC3;FOXC2;NLRC5;HSD17B6;USP18;RELB;SERTAD2;ZNF627;HES1;RBBP6;WTAP;STAT1;GDF15;STAT2;ARID3B;GRHL1;TUBB4A;PNRC1;REC8;PER2;PER1;KLF6;KLF9;FOSB;SPRY2
